id,date,TA,DP,WC,RH,PA,PR,PR1H,PR24H,SR_1M,SR_1D,SR_45_1M,SR_45_1D,SD_1H,SD_1D,SD_45_1H,SD_45_1D
1,2021-12-13 09:51:03+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18660,106621,15723,88713
2,2021-12-13 09:51:19+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18680,106205,15733,88345
3,2021-12-13 09:51:33+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18680,106205,15733,88345
4,2021-12-13 09:51:48+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18680,106205,15733,88345
5,2021-12-13 09:52:03+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18680,106205,15733,88345
6,2021-12-13 09:52:19+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18697,105751,15748,87946
7,2021-12-13 09:52:33+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18697,105751,15748,87946
8,2021-12-13 09:52:48+00:00,-3.2,-3.5,0,98,753.6,0,0,0,24,6,22,5,18697,105751,15748,87946
9,2021-12-13 09:53:19+00:00,-3.2,-3.6,0,97,753.6,0,0,0,24,6,22,5,18737,105284,15782,87542
10,2021-12-13 09:53:33+00:00,-3.2,-3.6,0,97,753.6,0,0,0,24,6,22,5,18737,105284,15782,87542
11,2021-12-13 09:53:48+00:00,-3.2,-3.6,0,97,753.6,0,0,0,24,6,22,5,18737,105284,15782,87542
12,2021-12-13 09:54:03+00:00,-3.2,-3.6,0,97,753.6,0,0,0,24,6,22,5,18737,105284,15782,87542
13,2021-12-13 09:54:19+00:00,-3.2,-3.6,0,97,753.6,0,0,0,25,6,23,5,18793,104820,15828,87138
14,2021-12-13 09:54:33+00:00,-3.2,-3.6,0,97,753.6,0,0,0,25,6,23,5,18793,104820,15828,87138
15,2021-12-13 09:54:48+00:00,-3.2,-3.6,0,97,753.6,0,0,0,25,6,23,5,18793,104820,15828,87138
16,2021-12-13 09:55:03+00:00,-3.1,-3.6,0,98,753.5,0,0,0,25,6,23,5,18793,104820,15828,87138
